datetime,Latitude,Longitude,geometry
2020-05-18,83.32490175,8.720304624999999,POINT (8.720304624999999 83.32490175)
2020-05-19,83.26083870833334,8.936696708333333,POINT (8.936696708333333 83.26083870833334)
2020-05-20,83.14811366666667,9.999256125,POINT (9.999256125 83.14811366666667)
2020-05-21,83.0043015,11.170028083333333,POINT (11.17002808333333 83.0043015)
2020-05-22,82.9288195,11.51561575,POINT (11.51561575 82.9288195)
2020-05-23,82.80931066666668,10.683631708333335,POINT (10.68363170833334 82.80931066666668)
2020-05-24,82.72759579166666,10.236665291666668,POINT (10.23666529166667 82.72759579166666)
2020-05-25,82.59250383333331,8.984422083333333,POINT (8.984422083333333 82.59250383333331)
2020-05-26,82.35085929166667,8.174174791666667,POINT (8.174174791666667 82.35085929166667)
2020-05-27,82.382473125,8.297203666666666,POINT (8.297203666666666 82.382473125)
2020-05-28,82.35376141666666,8.560241291666665,POINT (8.560241291666665 82.35376141666666)
2020-05-29,82.18764479166667,9.163138583333334,POINT (9.163138583333334 82.18764479166667)
2020-05-30,81.94838466666667,9.428285708333332,POINT (9.428285708333332 81.94838466666667)
2020-05-31,81.71042216666667,9.821963041666669,POINT (9.821963041666669 81.71042216666667)
2020-06-01,81.333748875,9.853239958333331,POINT (9.853239958333331 81.333748875)
2020-06-02,80.82640829166668,9.754251958333331,POINT (9.754251958333331 80.82640829166668)
2020-06-03,78.95718329166665,9.910103833333332,POINT (9.910103833333332 78.95718329166665)
2020-06-04,78.17810428571428,14.088243714285714,POINT (14.08824371428571 78.17810428571428)
